country_en,product_name,2004,2005,2006,2007
Australia,Polar Ice,0,1151,2182,1641
Australia,Blue Steel Putter,0,2849,4654,3449
Australia,Trail Master,0,225,0,0
Australia,Polar Wave,0,187,595,432
Australia,BugShield Extreme,0,61758,40792,12806
Australia,Glacier GPS Extreme,0,2072,2370,4944
Australia,Canyon Mule Carryall,0,9703,20258,15637
Australia,Retro,0,5802,20636,16979
Australia,TrailChef Kitchen Kit,0,16160,32708,24295
Australia,Lady Hailstorm Titanium Woods Set,0,589,841,1065
Australia,Star Gazer 3,0,2409,4657,3885
Australia,Hibernator,0,10870,16908,17468
Australia,Ranger Vision,0,2292,2396,2023
Australia,EverGlow Kerosene,0,4615,12535,10941
Australia,Zodiak,0,2420,5444,2051
Australia,Husky Rope 100,0,2359,6981,7937
Australia,Granite Extreme,0,10839,30244,30054
Australia,Glacier GPS,0,5200,11228,14275
Australia,Hibernator Self - Inflating Mat,0,6699,13823,9481
Australia,Hibernator Lite,0,11615,26771,24992
Australia,TrailChef Double Flame,0,4938,10955,5904
Australia,TrailChef Cup,0,33227,81254,57865
Australia,Granite Shovel,0,3953,7193,10405
Australia,Star Gazer 6,0,838,2144,1195
Australia,Firefly Charger,0,4992,12962,15925
Australia,Lux,0,3754,2387,2029
Australia,Venue,0,11957,7454,5152
Australia,Fairway,0,29434,41248,25026
Australia,Calamine Relief,0,1700,961,290
Australia,BugShield Spray,0,19591,12066,1663
Australia,Firefly 2,0,9398,19674,17324
Australia,Hibernator Pillow,0,9708,18280,15588
Australia,Infinity,0,3195,7389,5349
Australia,Mountain Man Analog,0,3727,5401,5718
Australia,Bear Survival Edge,0,2047,4881,2392
Australia,Lady Hailstorm Steel Woods Set,0,544,1706,1254
Australia,Polar Extreme,0,120,383,309
Australia,Hailstorm Titanium Irons,0,914,1714,1650
Australia,Firefly Lite,0,11791,23398,17044
Australia,Trendi,0,6474,5988,9281
Australia,TrailChef Water Bag,0,94689,155194,119705
Australia,Cat Eye,0,26789,19547,53263
Australia,Blue Steel Max Putter,0,2174,3131,3418
Australia,Sun Shelter 30,0,56703,25825,4403
Australia,Max Gizmo,0,7589,7800,4555
Australia,Course Pro Putter,0,10509,9843,8724
Australia,EverGlow Butane,0,2026,5597,5040
Australia,Granite Grip,0,10937,20803,25223
Australia,TrailChef Utensils,0,16891,47021,23646
Australia,Star Lite,0,5546,12142,11344
Australia,Glacier Deluxe,0,1626,2528,3562
Australia,Glacier Basic,0,15739,18653,36829
Australia,Sun Shield,0,22686,8488,2148
Australia,Sam,0,3798,5089,8196
Australia,Canyon Mule Journey Backpack,0,5309,10918,10587
Australia,Zone,0,67066,70318,41713
Australia,Course Pro Umbrella,0,12218,22423,12898
Australia,Hibernator Pad,0,11418,21697,15828
Australia,Bella,0,2191,10350,8484
Australia,Seeker Mini,0,2196,5585,2995
Australia,Firefly Mapreader,0,12436,31381,26507
Australia,Sky Pilot,0,50,427,169
Australia,Canyon Mule Climber Backpack,0,11268,26506,20540
Australia,Firefly Rechargeable Battery,0,21475,67324,82198
Australia,TrailChef Cook Set,0,15974,33326,26453
Australia,EverGlow Single,0,6849,15984,18857
Australia,Sun Blocker,0,18560,7688,1436
Australia,TX,0,6600,7114,2705
Australia,Hailstorm Steel Woods Set,0,885,2118,2149
Australia,Firefly Extreme,0,3633,8397,5618
Australia,Granite Belay,0,4706,12029,18065
Australia,Seeker 50,0,1486,5662,4924
Australia,Sun Shelter 15,0,28947,14095,2279
Australia,Pocket Gizmo,0,25654,33948,20568
Australia,BugShield Lotion,0,19274,8453,3910
Australia,Granite Climbing Helmet,0,8612,13059,15929
Australia,Seeker 35,0,3431,5630,11286
Australia,Firefly Multi-light,0,2953,6880,7708
Australia,Husky Rope 60,0,1457,4361,4276
Australia,Firefly 4,0,5417,10373,9925
Australia,Star Dome,0,2481,5848,4529
Australia,TrailChef Kettle,0,46672,102757,63296
Australia,Hibernator Camp Cot,0,7689,11181,8298
Australia,Insect Bite Relief,0,1653,2628,497
Australia,Single Edge,0,44068,110468,79803
Australia,Seeker Extreme,0,1549,4281,2906
Australia,Legend,0,3788,3565,1649
Australia,Firefly Climbing Lamp,0,3344,10451,13550
Australia,Auto Pilot,0,0,624,1035
Australia,Mountain Man Combination,0,1259,1426,827
Australia,Capri,0,6610,12313,14551
Australia,BugShield Lotion Lite,0,7372,4771,1698
Australia,Course Pro Golf Bag,0,953,1440,2028
Australia,Trail Scout,0,566,647,0
Australia,Granite Carabiner,0,47867,119077,232105
Australia,Dante,0,14212,20149,18366
Australia,Aloe Relief,0,2200,2992,452
Australia,Hawk Eye,0,7464,27044,13147
Australia,Deluxe Family Relief Kit,0,3876,1319,526
Australia,EverGlow Double,0,921,2116,1653
Australia,Husky Rope 200,0,1391,2556,3377
Australia,Polar Sun,0,5852,11915,5336
Australia,Canyon Mule Extreme Backpack,0,2359,6641,6066
Australia,Granite Axe,0,17532,38800,28525
Australia,Granite Signal Mirror,0,4371,5429,5662
Australia,Compact Relief Kit,0,2052,3265,561
Australia,Maximus,0,9435,16225,12257
Australia,Inferno,0,9928,27028,29728
Australia,Astro Pilot,0,1878,4743,2003
Australia,Opera Vision,0,176,2435,0
Australia,Star Gazer 2,0,3537,7510,7346
Australia,Hailstorm Steel Irons,0,1400,3005,2589
Australia,Canyon Mule Weekender Backpack,0,5339,11691,9271
Australia,Granite Chalk Bag,0,3330,9472,12695
Australia,Kodiak,0,4049,3228,1912
Australia,Canyon Mule Cooler,0,15066,42348,39748
Australia,TrailChef Single Flame,0,11515,32461,22027
Australia,Granite Pulley,0,8099,16698,23397
Australia,Lady Hailstorm Titanium Irons,0,581,1152,945
Australia,Hailstorm Titanium Woods Set,0,727,2010,1189
Australia,Granite Hammer,0,5452,10166,15375
Australia,Edge Extreme,0,4508,12125,8534
Australia,Husky Harness Extreme,0,7954,15802,16540
Australia,EverGlow Lamp,0,12187,26441,38513
Australia,Hibernator Extreme,0,5633,11001,9785
Australia,TrailChef Deluxe Cook Set,0,6592,18618,8140
Australia,Lady Hailstorm Steel Irons,0,759,1764,1272
Australia,Mountain Man Deluxe,0,2043,4694,6622
Australia,BugShield Natural,0,16114,18199,2562
Australia,Mountain Man Extreme,0,548,743,849
Australia,Flicker Lantern,0,3675,5812,6312
Australia,TrailChef Canteen,0,19803,30956,23431
Australia,Bear Edge,0,4812,13835,9482
Australia,Double Edge,0,9423,28914,17114
Australia,Course Pro Gloves,0,8975,16129,15408
Australia,Mountain Man Digital,0,2462,2892,4178
Australia,Polar Sports,0,716,7482,4009
Australia,Course Pro Golf and Tee Set,0,10198,15600,19387
Australia,Granite Ice,0,8054,13598,19855
Australia,Husky Harness,0,5641,9513,10905
Australia,Trail Star,0,12,0,0
Australia,Husky Rope 50,0,2102,8264,7274
Australia,Star Peg,0,38596,89031,69687
Australia,Sun Shelter Stick,0,14911,8824,2392
Austria,Sun Blocker,14248,13739,4542,1053
Austria,Glacier GPS,5432,3671,7612,11908
Austria,Bear Survival Edge,1391,728,3003,2385
Austria,Canyon Mule Cooler,11688,12436,27402,15226
Austria,Trail Scout,1563,1338,525,0
Austria,Ranger Vision,5649,5127,7265,4576
Austria,Zodiak,0,2354,6496,5337
Austria,Single Edge,45105,34927,67617,85746
Austria,Hibernator Camp Cot,2978,6299,4819,5317
Austria,Maximus,19128,19829,24766,24565
Austria,Star Gazer 6,511,691,979,722
Austria,BugShield Spray,13181,10100,3530,1291
Austria,Polar Extreme,499,225,582,487
Austria,Mountain Man Extreme,449,420,771,992
Austria,Polar Sports,1652,1273,7835,8269
Austria,Seeker Mini,1616,1966,3590,2490
Austria,Course Pro Putter,12722,11041,4879,7809
Austria,Calamine Relief,3924,1302,641,217
Austria,Course Pro Golf Bag,1175,805,1491,1394
Austria,Hailstorm Steel Irons,860,1349,1640,1128
Austria,Husky Rope 100,0,2072,6520,4727
Austria,Hibernator Lite,7011,9723,21264,18804
Austria,EverGlow Butane,1896,1383,4233,3616
Austria,Hibernator,5765,7457,17569,11366
Austria,Polar Ice,1135,1703,2816,2558
Austria,Lady Hailstorm Titanium Woods Set,359,427,547,404
Austria,Double Edge,13243,5840,16676,18038
Austria,Blue Steel Max Putter,2757,1950,2119,1203
Austria,TrailChef Kettle,29470,43818,73030,42135
Austria,TrailChef Water Bag,59191,68992,105064,112616
Austria,Granite Carabiner,0,63642,110640,128849
Austria,Trail Star,3083,227,0,0
Austria,Granite Belay,0,5208,12161,10058
Austria,Trail Master,1337,556,0,0
Austria,Trendi,15394,21307,13096,16801
Austria,Glacier Deluxe,1768,1118,3915,4737
Austria,Auto Pilot,0,0,789,1002
Austria,Mountain Man Combination,826,1026,1601,1159
Austria,Granite Signal Mirror,0,3441,6321,8660
Austria,Pocket Gizmo,27427,22094,18877,18930
Austria,Infinity,2958,7585,10685,5594
Austria,Glacier Basic,14296,8643,19943,29547
Austria,Seeker 50,3056,1733,3834,3713
Austria,Husky Rope 50,0,2323,7208,4980
Austria,TX,13626,11078,11321,5556
Austria,Firefly Extreme,2481,2276,4872,5123
Austria,Canyon Mule Carryall,8861,5946,10318,11277
Austria,Glacier GPS Extreme,2411,2342,3196,4752
Austria,Inferno,24359,19901,48060,34438
Austria,Course Pro Gloves,3723,8791,9751,11104
Austria,Lux,3075,5157,3493,1550
Austria,Hailstorm Titanium Woods Set,395,559,901,721
Austria,TrailChef Single Flame,6294,7389,20145,11494
Austria,Hibernator Pad,6750,12901,18830,10332
Austria,Star Dome,2037,1809,2920,2325
Austria,Venue,23843,21629,15286,6638
Austria,BugShield Natural,36489,13549,5153,2313
Austria,Hailstorm Steel Woods Set,614,1340,1543,1435
Austria,Canyon Mule Journey Backpack,3792,4989,8316,5384
Austria,Sky Pilot,0,800,2315,885
Austria,Canyon Mule Weekender Backpack,5257,3503,7882,4281
Austria,Firefly Charger,0,6683,12794,16515
Austria,Star Peg,27762,24188,27620,42612
Austria,Husky Rope 200,0,1068,3350,2025
Austria,TrailChef Kitchen Kit,9298,14333,24804,12584
Austria,Sun Shelter 15,29213,33901,11629,1821
Austria,EverGlow Kerosene,2569,2898,7215,6921
Austria,Hibernator Pillow,6162,10689,11425,10437
Austria,Firefly Climbing Lamp,0,4872,7959,11785
Austria,Hibernator Extreme,5385,6485,10356,11348
Austria,Insect Bite Relief,5246,2154,1293,406
Austria,Firefly Mapreader,14008,12012,21744,15547
Austria,TrailChef Double Flame,2457,4451,5310,4627
Austria,Bella,4606,7026,6163,6870
Austria,Blue Steel Putter,3943,2292,2929,2663
Austria,Astro Pilot,0,2160,5925,2334
Austria,Lady Hailstorm Steel Woods Set,558,674,575,568
Austria,Firefly 2,9155,9536,13627,9471
Austria,Edge Extreme,7009,3861,8702,8681
Austria,Flicker Lantern,3024,3081,6055,3117
Austria,Max Gizmo,9536,5314,9386,10621
Austria,TrailChef Deluxe Cook Set,3038,5928,10644,9887
Austria,Retro,0,11566,26314,25933
Austria,Granite Extreme,0,8642,20949,26052
